folder,filename,size.width,size.height,size.depth,object.name,object.difficult,object.occluded,object.pose,object.truncated,object.bndbox.xmin,object.bndbox.xmax,object.bndbox.ymin,object.bndbox.ymax
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,153,169,212,224
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,179,192,210,224
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,112,126,205,221
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,36,52,204,224
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,37,50,210,223
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,90.1,106,198,213
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,16,28,199,212
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,140,153,189,203
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,168,187,186,196
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,111,123,182,194
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,57,75,180,199
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,3.23,15.79,176,190
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,32,43,176,187
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,212,224,170,186
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,77,106,167,179
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,154,169,165,181
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,120,142,160,175
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,43,61,156,165
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,199,211,153,169
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,145,156,149,162
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,2,23,149,159
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,56,70,144,154
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,91.54,107,141,158
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,185,196,137,155
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,158,170,136,150
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,170,177,135,142
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,36,49,132,144
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,71.44,87,121,137
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,107,118,120,134
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,16,28,119,131
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,128.15,156.15,118,142
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,212.15,224,117,134.62
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,176,190.26,116,129.95
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,39.92,55.92,109.64,122.64
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,0,11,110,125
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,70,83,101,114
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,175.9,191.33,98,113.44
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,17.59,34,94,107
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,112.72,135,86.15,108.05
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,151,159,83,101
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,186.67,200,81.28,94.28
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,83,97,82,100
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,40.56,54.56,78,92
