folder,filename,size.width,size.height,size.depth,object.name,object.difficult,object.occluded,object.pose,object.truncated,object.bndbox.xmin,object.bndbox.xmax,object.bndbox.ymin,object.bndbox.ymax
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,128.15,156.15,118.0,142.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,107.0,118.0,120.0,134.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,70.0,83.0,101.0,114.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,12.0,24.0,0.0,13.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,203.0,214.0,69.0,83.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,198.87,217.0,6.0,22.62
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,175.9,191.33,98.0,113.44
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,40.56,54.56,78.0,92.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,165.49,178.0,75.0,94.77
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,77.0,106.0,167.0,179.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,212.15,224.0,117.0,134.62
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,36.0,52.0,204.0,224.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,36.0,49.0,132.0,144.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,140.0,153.0,189.0,203.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,181.0,194.0,57.0,71.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,56.0,70.0,144.0,154.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,154.0,169.0,165.0,181.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,154.0,168.72,3.0,14.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,90.1,106.0,198.0,213.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,123.85,139.64,111.64,124.56
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,42.0,51.0,20.0,40.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,39.92,55.92,109.64,122.64
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,153.0,169.0,212.0,224.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,79.0,91.0,0.0,15.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,140.72,155.0,54.21,70.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,81.0,92.0,52.0,68.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,9.0,21.0,34.0,51.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,48.0,63.0,49.0,70.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,158.0,170.0,136.0,150.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,158.0,177.0,21.0,40.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,104.0,118.0,23.0,42.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,170.0,177.0,135.0,142.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,185.0,196.0,137.0,155.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,120.0,142.0,160.0,175.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,120.0,134.0,9.0,20.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,163.0,179.0,45.0,56.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,31.59,47.03,45.0,56.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,186.67,200.0,81.28,94.28
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,208.92,224.0,198.87,223.28
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,32.0,43.0,176.0,187.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,2.0,23.0,149.0,159.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,112.72,135.0,86.15,108.05
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,54.0,64.0,23.0,36.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,13.0,29.0,65.0,79.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,137.0,149.0,17.0,31.23
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,0.0,11.0,110.0,125.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,0.0,7.18,70.64,86.64
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,0.0,13.0,24.0,34.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,3.23,15.79,176.0,190.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,35.0,53.0,0.0,8.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,1.0,7.0,0.0,10.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,168.0,187.0,186.0,196.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,59.0,84.0,13.0,25.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,182.72,195.0,22.97,39.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,145.0,156.0,149.0,162.0
Annotations,Image_2.png,224,224,3,cell,0,0,Unspecified,0,199.0,211.0,153.0,169.0
